F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
30,186.88,-21.06,-17.68,14.2,563.22,-3.29,-5.32,-18.9,9.2,-9.44,10.89,-8.54,510,,False
30,196.88,-22.89,-19.38,19.7,353.22,-5.71,-1.48,-18.33,7.15,-8.58,15.89,-8.44,760,7.22,False
30,96.88,-19.65,-16.46,17.3,398.22,-5.19,-1.96,-14.64,7.1,-9.18,20.89,-8.79,610,7.69,False
3,216.88,-33.24,-27.8,0.84,344.22,-0.86,-6.89,-14.73,0.09,-17.98,7.89,-3.78,32,,False
3,198.88,-32.52,-26.26,1.52,278.22,0.08,-7.73,-13.62,1.91,-23.94,7.89,-3.25,36,,True
30,386.88,-20.94,-20.34,10.7,533.22,-4.12,-4.22,-8.97,14.5,-11,20.89,-9.09,330,,False
3,170.88,-34.56,-27.32,0.36,242.22,3.18,-6.92,-14.61,1.28,-22,7.89,-3.2,2,6.49,False
15,276.88,-19.32,-17.26,12.8,443.22,-5.72,-1.78,-10.35,7.95,-10.12,30.89,-9.24,710,9.81,True
3,182.88,-32.76,-25.48,1.82,323.22,2.55,-7.31,-17.85,0.99,-20.3,5.89,-3.74,66,,True
3,200.88,-33.09,-28.96,0.44,281.22,0.78,-7.14,-19.65,1.59,-21.72,9.89,-3.11,36,7.89,False
0,210.88,-32.55,-25.94,1.8,350.22,-0.15,-6.75,-14.01,0.08,-17.14,7.89,-3.5,6,,True
3,224.88,-50.82,-28.58,1.4,296.22,0.03,-6.4,-13.44,0.26,-18.66,7.89,-3.78,96,9.44,True
30,136.88,-26.61,-18.74,12.3,428.22,-5.08,-2.67,-13.95,8.65,-7.72,20.89,-10.84,650,6.73,False
30,396.88,-20.1,-18.28,16.5,548.22,-3.57,-2.38,-8.37,9.3,-8.98,30.89,-8.54,400,,False
3,172.88,-34.11,-32.68,1.76,257.22,1.12,-6.21,-14.79,0.57,-20.42,5.89,-3.68,12,,True
30,356.88,-24.39,-17.66,12.8,773.22,-3.57,-2.41,-8.52,6.7,-9.88,20.89,-9.64,220,,False
30,316.88,-25.05,-26.64,13.3,683.22,-4.39,-2.96,-11.19,8.05,-10.44,20.89,-9.09,500,7.03,False
3,216.88,-32.79,-26.04,1.52,305.22,-1,-6.87,-25.44,0.29,-17.42,9.89,-3.75,84,,True
30,-3.12,-31.53,-15.6,17.8,443.22,-5.29,-3.37,-20.22,6.2,-10.9,10.89,-9.34,290,7.44,False
30,26.88,-21.42,-17.86,17.4,608.22,-5.11,-1.78,-17.43,13.75,-10.12,10.89,-9.09,460,,False
3,214.88,-36.15,-28.08,0.08,293.22,2.19,-7.42,-16.56,0.45,-20.2,9.89,-3.49,54,7.6,False
3,218.88,-32.61,-28.7,1.26,290.22,0.96,-7,-13.62,0.27,-19,9.89,-3.36,50,7.07,False
3,190.88,-33.18,-25.64,1.62,296.22,0.35,-8.33,-12.24,1.99,-17.68,9.89,-3.39,48,,True
